game_id,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_avg_market_value,home_nationalities,home_avg_age,home_total_minutes,home_total_goals,home_total_assists,home_total_yellow_cards,home_total_red_cards,away_avg_market_value,away_nationalities,away_avg_age,away_total_minutes,away_total_goals,away_total_assists,away_total_yellow_cards,away_total_red_cards,result
4393332,2025-03-03,2832.0,7160.0,3.0,1.0,898333.3333333334,8.0,28.21866301619895,991.0,3.0,2.0,1.0,0.0,1266666.6666666667,6.0,30.420442619210586,990.0,1.0,1.0,4.0,1.0,Home Win
4393370,2025-04-06,36.0,449.0,4.0,1.0,9387500.0,11.0,30.155373032169745,990.0,4.0,2.0,2.0,0.0,4410937.5,10.0,28.204312114989733,990.0,1.0,1.0,3.0,0.0,Home Win
4393371,2025-04-04,3840.0,3205.0,0.0,2.0,455000.0,4.0,24.159707962582708,982.0,0.0,0.0,3.0,0.0,979687.5,10.0,29.018138261464753,990.0,2.0,2.0,3.0,1.0,Away Win
4396649,2024-08-11,4294.0,979.0,1.0,2.0,870833.3333333334,5.0,28.01117955738079,806.0,1.0,1.0,0.0,0.0,1341666.6666666667,6.0,25.758384668035593,777.0,2.0,2.0,4.0,0.0,Away Win
4396654,2024-09-14,3329.0,2424.0,1.0,1.0,3138461.5384615385,10.0,23.72979518770073,831.0,0.0,1.0,1.0,0.0,1592857.142857143,9.0,25.36188520582771,991.0,1.0,1.0,0.0,0.0,Draw
4396776,2024-09-23,2503.0,294.0,0.0,3.0,813333.3333333334,7.0,23.93100616016427,990.0,0.0,0.0,2.0,0.0,18562500.0,11.0,25.466803559206024,990.0,3.0,3.0,0.0,0.0,Away Win
4396780,2024-08-18,979.0,8024.0,3.0,1.0,1250000.0,6.0,26.14217268016036,879.0,2.0,1.0,1.0,0.0,1180769.2307692308,8.0,25.85668404148897,932.0,1.0,0.0,1.0,0.0,Home Win
4396782,2024-08-17,294.0,3268.0,3.0,0.0,17820000.0,10.0,25.152270134610998,965.0,3.0,3.0,0.0,0.0,1186363.6363636365,5.0,26.99943998506627,684.0,0.0,0.0,0.0,0.0,Home Win
4396837,2024-12-23,2420.0,982.0,2.0,2.0,3673333.3333333335,6.0,25.96084873374401,912.0,2.0,1.0,1.0,0.0,707812.5,5.0,26.454312114989733,991.0,2.0,2.0,1.0,0.0,Draw
4396847,2025-03-16,2425.0,294.0,2.0,3.0,1981250.0,9.0,23.80612594113621,990.0,2.0,0.0,3.0,0.0,18062500.0,11.0,26.21184120465435,990.0,3.0,1.0,1.0,0.0,Away Win
4396857,2025-04-07,4294.0,3268.0,0.0,0.0,1093333.3333333333,3.0,28.919917864476385,991.0,0.0,0.0,4.0,0.0,1037500.0,8.0,27.472792607802877,990.0,0.0,0.0,2.0,0.0,Draw
4396897,2025-03-02,979.0,2431.0,1.0,1.0,1253333.3333333333,6.0,26.758475929728498,990.0,1.0,1.0,2.0,0.0,666666.6666666666,5.0,27.76436230892083,991.0,1.0,1.0,4.0,0.0,Draw
4403370,2024-09-01,2672.0,2441.0,0.0,3.0,375000.0,6.0,27.057038558065255,771.0,0.0,0.0,2.0,0.0,3650000.0,12.0,28.83436002737851,990.0,3.0,2.0,3.0,0.0,Away Win
4403373,2024-09-22,3062.0,2441.0,0.0,0.0,291666.6666666667,7.0,28.69062286105407,649.0,0.0,0.0,2.0,0.0,2620000.0,13.0,29.6104038329911,966.0,0.0,0.0,5.0,0.0,Draw
4403416,2024-11-23,3999.0,653.0,1.0,1.0,250000.0,5.0,26.501026694045173,732.0,1.0,1.0,0.0,0.0,742857.1428571428,9.0,27.76865160848734,979.0,1.0,1.0,2.0,0.0,Draw
4407535,2025-02-21,940.0,331.0,1.0,0.0,4712500.0,4.0,26.95841889117043,990.0,1.0,0.0,1.0,0.0,4962500.0,3.0,28.043634496919918,990.0,0.0,0.0,0.0,0.0,Home Win
4407649,2024-11-23,940.0,131.0,2.0,2.0,5721428.571428572,4.0,27.26488706365503,929.0,2.0,1.0,5.0,0.0,40312500.0,5.0,24.507529089664615,982.0,2.0,1.0,5.0,0.0,Draw
4407676,2024-12-21,3709.0,237.0,0.0,1.0,3433333.3333333335,8.0,27.26881131644992,990.0,0.0,0.0,4.0,0.0,3220000.0,7.0,29.441022130960526,990.0,1.0,0.0,3.0,0.0,Away Win
4407684,2024-12-08,621.0,1050.0,2.0,0.0,20333333.333333332,2.0,27.27355692448095,985.0,2.0,2.0,2.0,0.0,10381250.0,5.0,28.168206707734427,991.0,0.0,0.0,1.0,0.0,Home Win
4407708,2024-12-14,714.0,331.0,0.0,0.0,4307142.857142857,7.0,26.65121736579642,990.0,0.0,0.0,3.0,0.0,5246666.666666667,3.0,27.933378964179784,983.0,0.0,0.0,1.0,0.0,Draw
4407709,2024-12-15,1050.0,150.0,1.0,2.0,10164285.714285715,5.0,28.438642808252666,990.0,1.0,0.0,5.0,0.0,8771428.57142857,7.0,27.390045956781073,866.0,1.0,1.0,2.0,1.0,Away Win
4407733,2025-01-18,150.0,1108.0,1.0,3.0,6600000.0,7.0,27.90527036276523,865.0,1.0,1.0,3.0,1.0,3657142.8571428573,6.0,26.72474821550797,977.0,3.0,2.0,5.0,0.0,Away Win
4407736,2025-03-02,331.0,1049.0,3.0,3.0,5931250.0,3.0,28.275154004106774,990.0,3.0,2.0,2.0,0.0,10050000.0,6.0,25.729123887748116,990.0,3.0,3.0,1.0,0.0,Draw
4407746,2025-01-26,131.0,1049.0,7.0,1.0,41500000.0,5.0,24.281143052703626,990.0,6.0,5.0,0.0,0.0,9866666.666666666,6.0,25.229842573579738,982.0,1.0,1.0,1.0,0.0,Home Win
4407747,2025-01-24,472.0,331.0,1.0,1.0,6946666.666666667,6.0,27.89450148300251,973.0,1.0,0.0,7.0,0.0,5387500.0,3.0,27.548254620123203,992.0,1.0,0.0,8.0,0.0,Draw
4407758,2025-02-16,714.0,621.0,1.0,1.0,4768750.0,6.0,25.656570841889117,990.0,1.0,0.0,1.0,0.0,20343750.0,2.0,27.80612594113621,990.0,1.0,1.0,1.0,0.0,Draw
4407784,2025-03-09,621.0,237.0,1.0,1.0,14625000.0,2.0,26.060574948665298,990.0,1.0,1.0,1.0,0.0,4253333.333333333,9.0,29.71170431211499,990.0,1.0,1.0,3.0,0.0,Draw
