game_id,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_avg_market_value,home_nationalities,home_avg_age,home_total_minutes,home_total_goals,home_total_assists,home_total_yellow_cards,home_total_red_cards,away_avg_market_value,away_nationalities,away_avg_age,away_total_minutes,away_total_goals,away_total_assists,away_total_yellow_cards,away_total_red_cards,result,win_rate_last5_home,win_rate_last5_away,goal_diff_pg_home,goal_diff_pg_away,season_ppg_home,season_ppg_away,rest_days_home,rest_days_away,squad_value_home,squad_value_away
3890031,2022-08-07,903.0,43.0,1.0,1.0,828571.4285714285,9.0,25.297350151559595,990.0,1.0,1.0,3.0,0.0,683333.3333333334,6.0,27.80853296828656,990.0,1.0,1.0,1.0,0.0,Draw,0.2,0.6,0.167,0.009,1.486,1.358,60.0,60.0,41970000.0,47295000.0
3909918,2022-09-14,1083.0,14589.0,3.0,1.0,2112500.0,3.0,24.821526351813823,990.0,3.0,3.0,0.0,0.0,465625.0,5.0,24.535249828884325,990.0,1.0,1.0,0.0,0.0,Home Win,0.6,0.2,0.028,-0.283,1.399,1.244,3.0,3.0,76310000.0,35450000.0
3909935,2022-10-19,2410.0,1186.0,0.0,1.0,3009375.0,6.0,25.185831622176597,990.0,0.0,0.0,2.0,0.0,359375.0,9.0,28.46440793976728,991.0,1.0,1.0,3.0,0.0,Away Win,0.4,0.2,0.598,-0.394,1.812,1.169,3.0,17.0,108650000.0,14825000.0
3947770,2023-01-19,506.0,2919.0,2.0,1.0,14406250.0,6.0,26.069815195071868,990.0,2.0,2.0,0.0,0.0,6287500.0,4.0,26.06143052703628,990.0,1.0,1.0,2.0,0.0,Home Win,0.8,0.4,1.039,0.03,2.182,1.455,12.0,5.0,707185000.0,105225000.0
3953977,2022-11-28,18303.0,48726.0,1.0,1.0,510000.0,2.0,24.94547113848962,990.0,1.0,1.0,3.0,0.0,514285.7142857143,4.0,23.0943580717708,958.0,1.0,0.0,9.0,0.0,Draw,0.4,0.4,0.074,-0.338,1.406,1.077,15.0,18.0,21370000.0,18850000.0
3962639,2023-03-04,3725.0,14589.0,3.0,1.0,982142.8571428572,3.0,28.602327173169066,990.0,3.0,2.0,1.0,0.0,1140625.0,6.0,26.57460643394935,945.0,1.0,1.0,6.0,0.0,Home Win,0.6,0.6,-0.043,-0.171,1.395,1.307,60.0,60.0,48610000.0,35450000.0
4031356,2023-03-19,660.0,48726.0,2.0,0.0,7568750.0,5.0,24.24520876112252,990.0,2.0,1.0,2.0,0.0,534615.3846153846,4.0,25.242563049544568,990.0,0.0,0.0,1.0,0.0,Home Win,0.6,0.2,1.296,-0.319,2.178,1.087,10.0,14.0,203575000.0,18850000.0
4089571,2023-10-08,443.0,1894.0,3.0,1.0,787500.0,12.0,26.86327857631759,990.0,3.0,3.0,2.0,0.0,363333.3333333333,3.0,29.157198266027837,990.0,1.0,1.0,2.0,0.0,Home Win,0.4,0.4,-0.241,0.27,1.147,1.405,7.0,4.0,30335000.0,6725000.0
4090245,2024-02-19,443.0,678.0,0.0,0.0,812500.0,11.0,26.718001368925396,991.0,0.0,0.0,2.0,0.0,853125.0,6.0,26.11105407255305,990.0,0.0,0.0,2.0,0.0,Draw,0.2,0.6,-0.226,0.136,1.145,1.381,60.0,60.0,30335000.0,46600000.0
4090246,2024-02-18,1177.0,190.0,0.0,3.0,859375.0,6.0,25.520704996577685,990.0,0.0,0.0,0.0,0.0,4240000.0,8.0,26.81633584302989,990.0,3.0,3.0,1.0,0.0,Away Win,0.2,0.4,-0.154,0.782,1.166,1.919,60.0,60.0,40275000.0,114910000.0
